Puntuacion,Veces_despertado,Horas_sueño_profundo,Temperatura,Porcentaje_humedad,Deporte_diario,Tipo_alimentacion,Ha_bebido_alcohol,Mes,Edad,Estacion,Hora_acostarse,Hora_despertar
7.5,2,6,42.2,75.5,medio,equilibrada,False,junio,29,verano,22:45,6:00
4.5,3,6,30.9,33.1,medio,muy procesada,False,septiembre,4,otoño,20:30,6:45
7.2,1,6,18.5,76.2,medio,muy procesada,False,diciembre,73,invierno,20:00,8:00
6.6,1,1,36.3,69.4,poco,procesada,False,septiembre,73,otoño,20:00,7:00
2.1,4,3,29.4,77.2,medio,equilibrada,True,enero,40,invierno,2:00,8:30
5.4,2,3,41.0,34.1,medio,equilibrada,True,marzo,18,primavera,0:45,7:45
4.4,2,5,19.9,45.3,medio,sana,True,julio,39,verano,0:15,6:30
8.2,1,1,10.3,60.8,poco,procesada,False,octubre,34,otoño,22:30,6:45
9.4,0,2,13.0,49.2,mucho,sana,False,mayo,20,primavera,1:45,9:30
7.8,0,7,18.7,36.7,mucho,equilibrada,True,marzo,47,primavera,20:45,5:00
4.9,3,4,28.0,66.2,poco,procesada,False,octubre,75,otoño,0:45,7:00
4.7,3,1,37.6,58.5,medio,muy procesada,False,octubre,24,otoño,2:30,9:15
9.4,1,2,16.8,28.0,poco,equilibrada,False,dic,20,invierno,20:15,7:45
7.2,2,1,42.0,59.7,mucho,ayuno,False,mayo,37,primavera,21:30,8:15
4.6,4,4,27.1,38.3,nada,equilibrada,False,noviembre,30,otoño,22:15,7:00
8.1,1,7,26.0,63.0,mucho,sana,False,agosto,73,verano,21:00,6:30
7.5,1,8,31.1,46.1,nada,equilibrada,False,septiembre,54,otoño,21:30,6:15
5.1,2,6,12.4,51.1,poco,muy procesada,False,diciembre,11,invierno,22:15,6:00
3.4,4,8,39.4,49.6,nada,muy procesada,False,diciembre,44,invierno,20:15,10:15
1.1,4,6,36.5,26.2,medio,ayuno,True,agosto,75,verano,2:45,9:45
10.0,0,3,27.2,79.5,mucho,ayuno,False,marzo,16,primavera,1:30,7:15
5.1,2,1,43.7,50.8,medio,equilibrada,True,mayo,1,primavera,0:30,6:00
6.5,2,5,22.3,30.8,mucho,ayuno,False,junio,20,verano,1:00,8:30
8.4,1,4,34.3,77.3,mucho,ayuno,False,junio,48,verano,21:15,5:30
4.4,2,4,42.1,77.8,medio,procesada,True,febrero,41,invierno,0:00,6:45
5.0,1,1,38.3,44.1,medio,muy procesada,True,diciembre,76,invierno,23:30,6:45
1.6,4,1,38.4,66.5,medio,equilibrada,True,agosto,4,verano,20:30,6:15
3.8,3,4,34.7,50.3,nada,muy procesada,False,enero,6,invierno,22:00,9:00
3.5,2,4,36.8,26.0,nada,procesada,True,febrero,4,invierno,0:30,6:15
1.0,4,1,43.6,26.1,poco,procesada,True,septiembre,34,otoño,20:30,8:30
10.0,0,5,39.6,51.9,mucho,ayuno,False,may,73,primavera,2:30,9:00
3.1,4,10,11.5,55.9,medio,ayuno,False,mayo,65,primavera,20:30,7:45
5.3,3,6,40.0,79.6,medio,ayuno,False,abril,63,primavera,1:45,8:30
7.1,1,2,13.2,59.3,medio,equilibrada,False,julio,68,verano,21:30,7:45
7.6,2,2,26.4,48.0,mucho,ayuno,False,junio,69,verano,1:30,6:00
